seq,stateDt,dailyInfect,dailyRec,dailyDeath,cumInfect,cumRec,cumDeath,netInfect
1,20200120,1,0,0,1,0,0,1
2,20200121,0,0,0,1,0,0,1
3,20200122,0,0,0,1,0,0,1
4,20200123,0,0,0,1,0,0,1
5,20200124,1,0,0,2,0,0,2
6,20200125,0,0,0,2,0,0,2
7,20200126,1,0,0,3,0,0,3
8,20200127,1,0,0,4,0,0,4
9,20200128,0,0,0,4,0,0,4
10,20200129,0,0,0,4,0,0,4
11,20200130,3,0,0,7,0,0,7
12,20200131,4,0,0,11,0,0,11
13,20200201,1,0,0,12,0,0,12
14,20200202,3,0,0,15,0,0,15
15,20200203,0,0,0,15,0,0,15
16,20200204,1,0,0,16,0,0,16
17,20200205,5,1,0,21,1,0,20
18,20200206,3,0,0,24,1,0,23
19,20200207,0,1,0,24,2,0,22
20,20200208,0,0,0,24,2,0,22
21,20200209,3,1,0,27,3,0,24
22,20200210,0,0,0,27,3,0,24
23,20200211,1,1,0,28,4,0,24
24,20200212,0,3,0,28,7,0,21
25,20200213,0,0,0,28,7,0,21
26,20200214,0,0,0,28,7,0,21
27,20200215,0,2,0,28,9,0,19
28,20200216,1,0,0,29,9,0,20
29,20200217,1,1,0,30,10,0,20
30,20200218,1,2,0,31,12,0,19
31,20200219,20,4,0,51,16,0,35
32,20200220,53,0,1,104,16,1,87
33,20200221,100,1,0,204,17,1,186
34,20200222,229,1,2,433,18,3,412
35,20200223,169,0,0,602,18,3,581
36,20200224,231,4,4,833,22,7,804
37,20200225,144,0,1,977,22,8,947
38,20200226,284,2,3,1261,24,11,1226
39,20200227,505,2,1,1766,26,12,1728
40,20200228,571,1,1,2337,27,13,2297
41,20200229,813,1,3,3150,28,16,3106
42,20200301,586,2,1,3736,30,17,3689
43,20200302,476,1,6,4212,31,23,4158
44,20200303,600,3,5,4812,34,28,4750
45,20200304,516,7,4,5398,41,32,5255
46,20200305,438,47,3,5766,88,35,5643
47,20200306,518,20,7,6584,108,42,6134
48,20200307,483,10,2,6767,118,44,6605
49,20200308,367,12,6,7134,130,50,6954
50,20200309,248,36,1,7382,166,51,7165
51,20200310,131,81,3,7513,247,54,7212
52,20200311,242,41,6,7795,288,60,7407
53,20200312,114,45,6,7869,333,66,7470
54,20200313,110,177,1,7979,510,67,7402
55,20200314,107,204,5,8086,714,72,7300
56,20200315,76,120,3,8192,834,75,7253
57,20200316,74,303,0,8236,1137,75,7024
58,20200317,84,264,6,8320,1401,81,6838
59,20200318,93,139,3,8413,1540,84,6789
60,20200319,152,407,7,8565,1947,91,6527
61,20200320,87,286,3,8652,2233,94,6325
62,20200321,147,379,8,8799,2612,102,6085
63,20200322,98,297,2,8897,2909,104,5884
64,20200323,64,257,7,8961,3166,111,5684
65,20200324,76,341,9,9037,3507,120,5410
66,20200325,100,223,6,9137,3730,126,5281
67,20200326,104,414,5,9241,4144,131,4966
68,20200327,91,384,8,9372,4528,139,4665
69,20200328,146,283,5,9478,4811,144,4523
70,20200329,105,222,8,9583,5033,152,4398
71,20200330,78,195,6,9661,5228,158,4275
72,20200331,125,180,4,9786,5408,162,4216
73,20200401,101,159,3,9887,5567,165,4155
74,20200402,89,261,4,9976,5828,169,3979
75,20200403,86,193,5,10062,6021,174,3867
76,20200404,94,304,3,10156,6325,177,3654
77,20200405,81,138,6,10237,6463,183,3591
78,20200406,47,135,3,10284,6598,186,3500
79,20200407,47,96,6,10331,6694,192,3445
80,20200408,53,82,8,10384,6776,200,3408
81,20200409,39,197,4,10423,6973,204,3246
82,20200410,27,144,4,10450,7117,208,3125
83,20200411,30,126,3,10480,7243,211,3026
84,20200412,32,125,3,10512,7368,214,2930
85,20200413,25,79,3,10537,7447,217,2873
86,20200414,27,87,5,10564,7534,222,2808
87,20200415,27,82,3,10591,7616,225,2750
88,20200416,22,141,4,10613,7757,229,2627
89,20200417,22,72,1,10635,7829,230,2576
90,20200418,18,108,2,10653,7937,232,2484
91,20200419,8,105,2,10661,8042,234,2385
92,20200420,13,72,2,10674,8114,236,2324
93,20200421,9,99,1,10683,8213,237,2233
94,20200422,11,64,1,10694,8277,238,2179
95,20200423,8,134,2,10702,8411,240,2051
96,20200424,6,90,0,10708,8501,240,1967
97,20200425,10,134,0,10718,8635,240,1843
98,20200426,10,82,2,10728,8717,242,1769
99,20200427,10,47,1,10738,8764,243,1731
100,20200428,14,90,1,10752,8854,244,1654
101,20200429,9,68,2,10761,8922,246,1593
102,20200430,4,137,1,10765,9059,247,1459
